任务,特征方案,模型,验证集平均R2,验证集平均RMSE,验证集平均MAE,验证集中位R2,测试集平均R2,测试集平均RMSE,测试集平均MAE,测试集中位R2,训练耗时秒,错误信息
任务3_液质成分预测,R210+S960双光谱,岭回归,0.6810625760760626,45.15713511418562,35.189686789932466,0.6931115753823138,0.6620098821928093,49.695421204081185,40.686912732201975,0.6741077635701864,0.028,
任务3_液质成分预测,S960单光谱,岭回归,0.6548581006089267,46.74047738119748,36.40782802840184,0.6715021133445149,0.6634049866056198,51.92130473148377,41.95679041286482,0.6741595513050085,0.258,
任务3_液质成分预测,R210+S960双光谱,PLS回归,0.6354347993311679,46.637525885805296,36.07530218494722,0.6356694193220894,0.6069517671205656,53.478829617151106,43.814498509107565,0.6152304463071865,0.239,
任务3_液质成分预测,S960单光谱,随机森林回归,0.6183246787093762,47.24266613936261,30.606821123279826,0.6284971112918626,0.6644380851147319,53.07924405866107,38.734517582469635,0.6300424118896715,0.686,
任务3_液质成分预测,S960单光谱,XGBoost回归,0.6175133911586709,44.89848267018089,30.5519849007948,0.5936642580098748,0.6460246255585435,55.560968141123254,37.358858297357735,0.6525802654923456,22.14,
任务3_液质成分预测,S960单光谱,极端随机树回归,0.6161270548711646,43.71691851145016,30.20373066067565,0.5983411163102315,0.6332480480058899,56.61111010469719,42.79230651998327,0.6377835294775188,0.362,
任务3_液质成分预测,R210+S960双光谱,极端随机树回归,0.5962472669738966,48.71364887334714,32.90552918470424,0.6129104267083976,0.6467043583301361,60.495964270373435,44.32439755568565,0.6423912494438576,0.511,
任务3_液质成分预测,R210+S960双光谱,XGBoost回归,0.5848943718776434,48.726095029760835,31.34405112836383,0.5887490314785551,0.6512668883599022,49.46569531597666,36.356566235595075,0.6255809753911487,24.732,
任务3_液质成分预测,R210+S960双光谱,随机森林回归,0.5832822266365063,56.73563623859243,35.48267678713967,0.588673692555018,0.6127107752617064,67.24871561239014,45.48245788971679,0.6124137734307974,0.816,
任务3_液质成分预测,R210单光谱,PLS回归,0.5539566140896424,58.40972752941769,44.8656311943268,0.5519926574637037,0.5719637841825365,59.463416267953974,45.480750400181925,0.582762121766849,0.136,
任务3_液质成分预测,S960单光谱,PLS回归,0.5431988330744757,47.07558693626436,37.97300404261485,0.5636874719809911,0.5543213899236329,54.97976102216682,44.19137312422724,0.5560976054329708,0.278,
任务3_液质成分预测,R210单光谱,弹性网络,0.4832690330752181,71.6848336319099,56.93262470078143,0.5061626972809321,0.34370694207267466,69.81975714334952,53.010577412879684,0.3187956402342704,0.374,
任务3_液质成分预测,R210+S960双光谱,弹性网络,0.35877774702472265,64.06409959655993,50.36666804179526,0.45439862699116085,0.20427807698907088,77.43057619956038,61.87512651252136,0.24796599324834756,2.145,
任务3_液质成分预测,R210单光谱,岭回归,0.3305669179047842,82.92340446099705,67.16512577790121,0.3453731501382653,0.26286240955107903,78.3849459307006,60.563272189847616,0.26480557092264145,0.018,
任务3_液质成分预测,S960单光谱,弹性网络,0.3153161073071077,61.067598856204064,47.965942676098734,0.4401544958635073,0.23618492247717401,75.19549839029986,61.80455211031266,0.23745705201458622,1.683,
