任务,特征方案,模型,验证集平均R2,验证集平均RMSE,验证集平均MAE,验证集中位R2,测试集平均R2,测试集平均RMSE,测试集平均MAE,测试集中位R2,训练耗时秒,错误信息
任务1_品质预测,R210单光谱,弹性网络,0.39753542978002254,2.588877564327899,1.8690707933059134,0.4505360276701619,0.18378778243144,2.729455471896439,2.1317641537142746,0.17530209325366813,0.107,
任务1_品质预测,R210+S960双光谱,岭回归,0.38079334862856007,2.6249839921074614,1.9350607930989807,0.4121716076478015,0.3407574994576487,2.472884235117891,1.941851567171702,0.3357073967657057,0.029,
任务1_品质预测,R210单光谱,岭回归,0.35204655423941317,2.75640994356809,2.0608452761102756,0.3598664353376365,0.28706473590074166,2.5666397857834866,2.0293637279747294,0.319156967983096,0.028,
任务1_品质预测,S960单光谱,SVR回归,0.31761586922939855,2.7160351605494975,1.9852529742101082,0.3952125964609285,0.1974333794459645,2.74609048961587,2.1000791463240756,0.20203894630922437,0.204,
任务1_品质预测,R210+S960双光谱,SVR回归,0.3173875701237226,2.724820146409601,2.0391431753972,0.3997086016759046,0.14525587149358898,2.753144273454711,2.10823266262825,0.18581598796616683,0.246,
任务1_品质预测,R210+S960双光谱,随机森林回归,0.29933368450737413,2.8116040146812433,2.1030565803035666,0.3449928860306354,0.27157033670497255,2.588571921679615,1.9868134294494055,0.26702077900688775,0.686,
任务1_品质预测,R210+S960双光谱,极端随机树回归,0.27359331880921767,2.8803475518162855,2.140830589418967,0.3207938733388361,0.24091454774682083,2.6333626991536447,2.0365599797466953,0.23597375938851667,0.399,
任务1_品质预测,R210+S960双光谱,K近邻回归,0.2711188308573176,2.8186070881273686,2.0701157295429535,0.3435232829455285,0.2727745986731011,2.6170519152308285,1.9725650138804292,0.2657577607744337,0.06,
任务1_品质预测,R210+S960双光谱,XGBoost回归,0.2678201625517239,2.853392844457825,2.1897281005267484,0.345545203334729,0.2321291919384089,2.6273618091469926,2.0553247194729614,0.25616005587422414,9.211,
任务1_品质预测,S960单光谱,岭回归,0.26615370040807096,2.8119043439901823,2.1040642533861798,0.3107646605105042,0.2659900012128351,2.624936393298244,2.0590119070009263,0.23673564041076145,0.025,
任务1_品质预测,S960单光谱,随机森林回归,0.2540861641921243,2.894233949909877,2.1498372552354823,0.2961482767102105,0.2203876807428836,2.7033166105878363,2.1258011304730147,0.19422949505441156,0.671,
任务1_品质预测,S960单光谱,极端随机树回归,0.24947526187667324,2.879660843039313,2.124787111376986,0.3096418098633161,0.1662079128095914,2.7865052434665567,2.201379048030082,0.14274554949157636,0.389,
任务1_品质预测,S960单光谱,K近邻回归,0.24858118406231075,2.909466973565269,2.1391752153560386,0.2907197851435296,0.227949158639985,2.6917714846092657,2.0647113187670882,0.21084954238900477,0.044,
任务1_品质预测,R210+S960双光谱,LightGBM回归,0.24287930175796466,2.9018323947008993,2.2056377013655104,0.3005104439203457,0.18906054788158297,2.7177910860504597,2.126979973584023,0.18746964310477648,1.358,
任务1_品质预测,R210单光谱,PLS回归,0.23967480211973785,2.774058628834165,2.009722309880238,0.2949699331262304,0.3727548774404422,2.4306934622883114,1.8794327473007906,0.37156361831546714,0.126,
